_id,Season,AwayTeam,HomeTeam,MatchDate,Date,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,League,HomeResultScore,AwayResultScore,HDI,ADI,HGL5,AGL5,HTHF5,ATAF5,HDIL5,ADIL5,HTFL5,ATFL5,HT_PTS_HOME,HT_PTS_AWAY,HTSP,AT_PTS_AWAY,AT_PTS_HOME,ATSP,HTASG,ATASG,SGD
"ObjectId(""682b8a710b6a9f2c872ef360"")",2425,St Pauli,Leverkusen,2024-12-07T00:00:00.000Z,07/12/2024,H,2,1,2.0,0.0,6.0,12.0,2.0,4.0,7.0,4.0,8.0,10.0,1.0,3.0,0.0,0.0,D1,3,0,5.0,15.0,13.0,7.0,11.0,6.0,55.0,45.0,9.0,7.0,27,6,33,12,24,36,29,11,18
"ObjectId(""682b8a710b6a9f2c872ef363"")",2425,St Pauli,Mainz,2025-02-22T00:00:00.000Z,22/02/2025,H,2,0,0.0,0.0,10.0,12.0,5.0,0.0,6.0,5.0,9.0,10.0,3.0,3.0,0.0,0.0,D1,3,0,15.0,15.0,8.0,4.0,13.0,6.0,55.0,85.0,7.0,7.0,21,12,33,12,24,36,16,11,5
"ObjectId(""682b8a710b6a9f2c872ef365"")",2425,St Pauli,Heidenheim,2025-01-18T00:00:00.000Z,18/01/2025,A,0,2,0.0,1.0,8.0,7.0,1.0,4.0,4.0,4.0,11.0,17.0,1.0,2.0,0.0,0.0,D1,0,3,5.0,10.0,4.0,4.0,4.0,6.0,30.0,75.0,4.0,3.0,7,25,32,12,24,36,9,11,-2
"ObjectId(""682b8a710b6a9f2c872ef366"")",2425,St Pauli,Dortmund,2024-10-18T00:00:00.000Z,18/10/2024,H,2,1,1.0,0.0,20.0,10.0,7.0,3.0,7.0,1.0,8.0,7.0,2.0,1.0,0.0,0.0,D1,3,0,10.0,5.0,10.0,4.0,9.0,3.0,20.0,35.0,7.0,4.0,24,9,33,12,24,36,31,11,20
"ObjectId(""682b8a710b6a9f2c872ef367"")",2425,St Pauli,Bochum,2025-01-15T00:00:00.000Z,15/01/2025,H,1,0,0.0,0.0,13.0,12.0,5.0,1.0,6.0,7.0,7.0,15.0,1.0,3.0,0.0,1.0,D1,3,0,5.0,40.0,4.0,5.0,4.0,6.0,25.0,40.0,6.0,6.0,12,18,30,12,24,36,12,11,1
"ObjectId(""682b8a710b6a9f2c872ef368"")",2425,St Pauli,RB Leipzig,2025-02-09T00:00:00.000Z,09/02/2025,H,2,0,2.0,0.0,11.0,7.0,6.0,4.0,5.0,4.0,12.0,8.0,2.0,2.0,1.0,0.0,D1,3,0,35.0,10.0,9.0,4.0,8.0,6.0,30.0,75.0,6.0,7.0,22,7,29,12,24,36,21,11,10
"ObjectId(""682b8a710b6a9f2c872ef36a"")",2425,St Pauli,Hoffenheim,2024-11-02T00:00:00.000Z,02/11/2024,A,0,2,0.0,1.0,12.0,7.0,6.0,3.0,7.0,2.0,10.0,10.0,0.0,2.0,0.0,0.0,D1,0,3,0.0,10.0,10.0,5.0,6.0,3.0,65.0,40.0,5.0,5.0,12,21,33,12,24,36,19,11,8
"ObjectId(""682b8a710b6a9f2c872ef36c"")",2425,St Pauli,Stuttgart,2024-12-21T00:00:00.000Z,21/12/2024,A,0,1,0.0,1.0,25.0,11.0,5.0,5.0,9.0,1.0,10.0,11.0,2.0,2.0,0.0,0.0,D1,0,3,10.0,10.0,10.0,7.0,10.0,6.0,70.0,45.0,10.0,3.0,20,17,37,12,24,36,27,11,16
"ObjectId(""682b8a710b6a9f2c872ef36e"")",2425,St Pauli,M'gladbach,2024-11-24T00:00:00.000Z,24/11/2024,H,2,0,2.0,0.0,15.0,15.0,4.0,3.0,5.0,4.0,7.0,8.0,1.0,0.0,0.0,0.0,D1,3,0,5.0,0.0,11.0,7.0,9.0,6.0,50.0,50.0,8.0,4.0,20,14,34,12,24,36,22,11,11
"ObjectId(""682b8a710b6a9f2c872ef370"")",2425,St Pauli,Augsburg,2024-09-15T00:00:00.000Z,15/09/2024,H,3,1,0.0,0.0,18.0,12.0,10.0,3.0,7.0,7.0,12.0,10.0,4.0,3.0,0.0,0.0,D1,3,0,20.0,15.0,2.0,0.0,1.0,0.0,15.0,5.0,1.0,0.0,18,12,30,12,24,36,14,11,3
"ObjectId(""682b8a710b6a9f2c872ef371"")",2425,St Pauli,Freiburg,2024-09-28T00:00:00.000Z,28/09/2024,A,0,3,0.0,2.0,6.0,10.0,2.0,4.0,4.0,2.0,7.0,18.0,3.0,3.0,0.0,0.0,D1,0,3,15.0,15.0,5.0,1.0,6.0,0.0,10.0,20.0,9.0,1.0,25,7,32,12,24,36,24,11,13
"ObjectId(""682b8a710b6a9f2c872ef36b"")",2425,Dortmund,Mainz,2024-11-09T00:00:00.000Z,09/11/2024,H,3,1,2.0,1.0,13.0,2.0,9.0,1.0,8.0,0.0,17.0,5.0,3.0,1.0,0.0,1.0,D1,3,0,15.0,30.0,3.0,3.0,2.0,1.0,85.0,135.0,5.0,9.0,21,12,33,8,23,31,16,12,4
"ObjectId(""682b8a710b6a9f2c872ef36d"")",2425,Dortmund,Heidenheim,2025-02-01T00:00:00.000Z,01/02/2025,A,1,2,0.0,1.0,11.0,16.0,5.0,5.0,4.0,5.0,11.0,9.0,0.0,0.0,0.0,0.0,D1,0,3,0.0,0.0,4.0,7.0,3.0,4.0,30.0,95.0,4.0,4.0,7,25,32,8,23,31,9,12,-3
"ObjectId(""682b8a710b6a9f2c872ef36f"")",2425,Dortmund,Bochum,2025-02-15T00:00:00.000Z,15/02/2025,H,2,0,2.0,0.0,18.0,17.0,9.0,2.0,2.0,8.0,12.0,4.0,1.0,0.0,0.0,0.0,D1,3,0,5.0,0.0,6.0,8.0,7.0,7.0,55.0,65.0,5.0,4.0,12,18,30,8,23,31,12,12,0
"ObjectId(""682b8a710b6a9f2c872ef372"")",2425,Dortmund,Ein Frankfurt,2025-01-17T00:00:00.000Z,17/01/2025,H,2,0,1.0,0.0,13.0,12.0,5.0,3.0,5.0,7.0,8.0,6.0,0.0,2.0,0.0,0.0,D1,3,0,0.0,10.0,15.0,8.0,10.0,4.0,35.0,125.0,7.0,5.0,24,6,30,8,23,31,29,12,17
